date,time,symbol,price,variance,slope,trend
2025-03-15,10:40:01.000,BTCUSD,84354.99000,32.705057,0.547471,Bullish
2025-03-15,10:40:01.000,BTCUSD,84360.20000,35.417472,0.581584,Bullish
2025-03-15,10:40:02.000,BTCUSD,84360.02000,37.500138,0.608280,Bullish
2025-03-15,10:40:02.000,BTCUSD,84360.11000,39.244693,0.631021,Bullish
2025-03-15,10:40:02.000,BTCUSD,84360.20000,40.943689,0.654612,Bullish
2025-03-15,10:40:02.000,BTCUSD,84355.24000,40.523771,0.644959,Bullish
2025-03-15,10:40:02.000,BTCUSD,84354.99000,39.755237,0.627473,Bullish
2025-03-15,10:40:02.000,BTCUSD,84354.55000,36.269453,0.572819,Bullish
2025-03-15,10:40:02.000,BTCUSD,84357.70000,32.705218,0.529357,Bullish
2025-03-15,10:40:02.000,BTCUSD,84357.07000,30.210095,0.491766,Bullish
2025-03-15,10:40:02.000,BTCUSD,84357.70000,28.405331,0.462672,Bullish
2025-03-15,10:40:02.000,BTCUSD,84357.95000,25.680900,0.422768,Bullish
2025-03-15,10:40:03.000,BTCUSD,84362.03000,26.331300,0.432414,Bullish
2025-03-15,10:40:03.000,BTCUSD,84365.47000,23.852296,0.411488,Bullish
2025-03-15,10:40:03.000,BTCUSD,84362.03000,19.605499,0.366712,Bullish
2025-03-15,10:40:03.000,BTCUSD,84355.05000,18.354836,0.316730,Bullish
2025-03-15,10:40:03.000,BTCUSD,84358.78000,17.346516,0.292169,Bullish
2025-03-15,10:40:03.000,BTCUSD,84356.30000,16.053632,0.247537,Bullish
2025-03-15,10:40:04.000,BTCUSD,84360.20000,12.197733,0.193624,Bullish
2025-03-15,10:40:04.000,BTCUSD,84358.38000,7.795405,0.122425,Bullish
2025-03-15,10:40:04.000,BTCUSD,84358.49000,7.486240,0.106220,Bullish
2025-03-15,10:40:04.000,BTCUSD,84358.76000,7.499401,0.107989,Bullish
2025-03-15,10:40:04.000,BTCUSD,84363.90000,8.607787,0.139670,Bullish
2025-03-15,10:40:04.000,BTCUSD,84363.88000,9.572976,0.166380,Bullish
2025-03-15,10:40:04.000,BTCUSD,84363.45000,9.818120,0.171822,Bullish
2025-03-15,10:40:04.000,BTCUSD,84358.49000,9.791197,0.176768,Bullish
2025-03-15,10:40:04.000,BTCUSD,84353.65000,9.630687,0.106903,Bullish
2025-03-15,10:40:05.000,BTCUSD,84363.45000,9.740478,0.109370,Bullish
2025-03-15,10:40:05.000,BTCUSD,84358.78000,9.707947,0.114986,Bullish
2025-03-15,10:40:05.000,BTCUSD,84356.83000,9.525785,0.079915,Bullish
2025-03-15,10:40:05.000,BTCUSD,84355.67000,9.360953,0.031382,Bullish
2025-03-15,10:40:05.000,BTCUSD,84360.20000,9.360953,0.047702,Bullish
2025-03-15,10:40:06.000,BTCUSD,84355.80000,9.641442,0.034394,Bullish
2025-03-15,10:40:06.000,BTCUSD,84360.95000,9.735485,0.056810,Bullish
2025-03-15,10:40:06.000,BTCUSD,84355.92000,9.944729,0.047021,Bullish
2025-03-15,10:40:06.000,BTCUSD,84360.95000,9.669825,0.037382,Bullish
2025-03-15,10:40:07.000,BTCUSD,84356.17000,9.406134,-0.007362,Bearish
2025-03-15,10:40:07.000,BTCUSD,84360.95000,8.847912,-0.024825,Bearish
2025-03-15,10:40:07.000,BTCUSD,84355.67000,9.178960,-0.057477,Bearish
2025-03-15,10:40:08.000,BTCUSD,84354.57000,9.718237,-0.100667,Bearish
2025-03-15,10:40:08.000,BTCUSD,84336.62000,25.883318,-0.254207,Bearish
2025-03-15,10:40:08.000,BTCUSD,84336.42000,41.338270,-0.397933,Bearish
2025-03-15,10:40:08.000,BTCUSD,84335.67000,55.931752,-0.508781,Bearish
2025-03-15,10:40:08.000,BTCUSD,84338.67000,63.432774,-0.564821,Bearish
2025-03-15,10:40:08.000,BTCUSD,84338.29000,71.767097,-0.635112,Bearish
2025-03-15,10:40:08.000,BTCUSD,84335.22000,84.411806,-0.762785,Bearish
2025-03-15,10:40:08.000,BTCUSD,84338.01000,92.204941,-0.837911,Bearish
2025-03-15,10:40:08.000,BTCUSD,84337.64000,100.161565,-0.923286,Bearish
2025-03-15,10:40:09.000,BTCUSD,84333.00000,111.044587,-1.003397,Bearish
2025-03-15,10:40:09.000,BTCUSD,84336.34000,117.540510,-1.062409,Bearish
2025-03-15,10:40:09.000,BTCUSD,84340.21000,119.684145,-1.085889,Bearish
